1	|	15.41
2	|	15.77
3	|	14.97
4	|	13.97
5	|	14.81
6	|	15.34
7	|	13.62
8	|	13.98
9	|	13.97
10	|	13.02
11	|	12.98
12	|	12.43
13	|	13.25
14	|	13.47
15	|	13.52
16	|	13.14
17	|	13.07
18	|	13.28
19	|	12.57
20	|	11.33
21	|	11.5
22	|	12.1
23	|	12.34
24	|	11.67
25	|	11.66
26	|	12.63
27	|	12.5
28	|	13.04
29	|	13.26
30	|	14.42
31	|	14.75
32	|	14.52
33	|	13.65
34	|	14.41
35	|	14.47
36	|	14.79
37	|	13.95
38	|	14.26
39	|	14.25
40	|	13.97
41	|	13.47
42	|	13.32
43	|	13.6
44	|	13.12
45	|	12.3
46	|	12.41
47	|	12.29
48	|	12.19
49	|	11.68
50	|	11.45
51	|	11.29
52	|	10.65
