338|22.19
384|19.41
435|20.04
572|22.8
31|9.06
719|29.41
541|21.62
964|39.31
100|13.09
193|16.93
67|8.35
950|38.5
135|11.32
741|29.86
258|16.34
144|10.18
973|39.99
622|27.55
954|37.81
452|22.28
536|23.19
680|23.77
1006|39.35
41|8.31
621|28.13
169|15.46
737|30.56
620|28.16
381|20.97
757|31.82
244|15.66
946|39.22
464|23.32
471|21.8
551|23.39
912|34.36
614|28.74
988|39.08
744|29.92
805|37.1
666|27.21
706|26.76
14|9.8
24|9.22
233|16.8
528|22.43
462|24.21
617|27.56
945|39.07
892|34.03
864|36.9
930|38.64
708|24.9
588|24.07
496|24.91
483|24.12
659|29.27
849|39.52
664|28.63
637|27.47
852|40.59
650|29
896|33.72
396|17.93
651|29.15
263|17.11
445|21.1
217|18.13
820|39.49
509|25.17
675|24.63
859|37.65
394|17.33
285|15.34
736|30.2
104|11.78
493|25.12
874|37.65
760|30.98
885|35.88
563|22.72
815|37.87
569|22.59
702|25.15
792|34.68
872|38.58
941|39.67
6|9.87
752|32.53
898|34.1
552|23.09
796|35.3
918|36.21
403|17.83
280|15
991|40.18
925|37.68
944|39.79
191|16.91
771|32.17
99|13.92
888|36.8
260|16.8
999|38.62
548|23.2
92|12.61
347|23.83
841|39.56
431|18.97
47|7.25
269|16.47
165|15.31
432|18.57
79|9.49
481|24.81
616|27.84
608|27.62
577|22.56
767|31.78
337|22.94
252|15.43
124|12.04
947|39.28
794|35.17
412|18.83
459|23.14
366|20.29
745|29.01
763|31.35
561|22.71
230|18.7
350|21.98
558|22.69
37|7.88
690|25.65
854|40.84
211|18.95
339|22.11
426|20.29
57|6.23
660|29.25
1004|38.92
297|17.27
50|7.85
457|22.82
639|27.39
681|24.63
740|30.15
575|22.46
769|31.99
293|16.13
335|22.44
215|19.49
160|13.32
17|11.07
996|39.86
315|20.82
597|23.85
368|21.44
192|16.82
248|15.34
237|16.97
884|35.64
594|23.87
461|24.11
880|36.82
728|29.96
129|10.75
196|18.02
13|8.91
254|16.84
549|22.89
360|20.63
281|14.96
640|27.52
473|22.35
909|35.42
983|41.38
545|23.23
547|23.93
965|39.63
261|17.08
101|12.22
591|23.77
901|34.41
300|17.79
1003|38.87
674|25.16
94|11.99
530|22.28
279|15.16
524|22.82
329|22.05
378|21.03
862|36.3
82|11.33
455|22.46
139|11.24
783|34.83
400|17.71
790|33.17
405|18.62
227|16.91
334|22.15
420|19.6
376|20.59
336|23.13
148|11.42
861|37.58
893|32.97
39|9.19
374|19.87
882|36.53
889|34.74
56|6.96
515|24.3
791|33.46
626|27.06
825|40.05
273|15.77
812|37.72
87|12.49
784|34.55
750|31.56
647|29.78
64|7.54
535|22.9
224|16.87
370|21.63
103|12.1
774|34.02
130|10.18
802|34.75
98|14.07
943|40.25
951|39.04
204|16.71
348|22.4
623|27.29
900|34.03
52|7.42
840|39.91
958|37.62
870|37.62
878|36.99
357|22.67
961|39.49
117|12.81
468|21.76
156|12.71
560|22.98
602|24.33
266|16.14
550|23.27
514|24.46
155|12.99
914|36.35
134|10.9
222|16.97
610|27.72
40|8.96
391|17.74
271|16.3
969|39.91
756|32.18
952|38.65
62|7.93
44|8.17
387|18.41
822|39.31
251|15.62
846|38.69
107|10.8
290|15.82
166|14.58
372|20.3
632|26.68
491|24.87
413|18.23
971|40.84
511|25.25
652|29.39
593|23.3
